Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
610,5.95e-07,610,7.61e-08,690,0.00425
611,5.64e-07,611,1.05e-07,691,0.00572
612,7.16e-07,612,9.32e-08,692,0.00769
613,1.02e-06,613,1.15e-07,693,0.00958
614,1.11e-06,614,2e-07,694,0.0107
615,7.86e-07,615,7.39e-08,695,0.0105
616,6.48e-07,616,1.1e-07,696,0.00922
617,6.96e-07,617,6.83e-08,697,0.0075
618,9.39e-07,618,5.23e-08,698,0.0058
619,1.3e-06,619,1.17e-07,699,0.00473
620,1.33e-06,620,7.65e-08,700,0.00403
621,1.36e-06,621,8.66e-08,701,0.00362
622,1.79e-06,622,9.47e-08,702,0.0034
623,2.06e-06,623,5.5e-08,703,0.00341
624,2.12e-06,624,6.99e-08,704,0.00367
625,7.44e-07,625,9.68e-08,705,0.00417
626,2.6e-07,626,9.93e-08,706,0.00505
627,1.29e-07,627,7.63e-08,707,0.00654
628,1.92e-07,628,1e-07,708,0.00894
629,1.49e-07,629,8.8e-08,709,0.0137
630,1.68e-07,630,1.34e-07,710,0.0219
631,1.2e-07,631,8.26e-08,711,0.0329
632,1.99e-07,632,9.37e-08,712,0.0409
633,1.56e-07,633,9.7e-08,713,0.0401
634,1.63e-07,634,8.11e-08,714,0.0315
635,1.36e-07,635,9.61e-08,715,0.0198
636,1.76e-07,636,1.19e-07,716,0.0117
637,1.31e-07,637,8.79e-08,717,0.00719
638,1.04e-07,638,1.16e-07,718,0.00479
639,1.37e-07,639,1.34e-07,719,0.00358
640,6.07e-08,640,1.04e-07,720,0.00286
641,9.27e-08,641,8.44e-08,721,0.0024
642,1.3e-07,642,1.3e-07,722,0.00211
643,6.94e-08,643,1e-10,723,0.00184
644,1.38e-07,644,1.16e-07,724,0.00172
645,1.94e-07,645,1.01e-07,725,0.00172
646,1.69e-07,646,9.52e-08,726,0.00169
647,9.22e-08,647,1.06e-07,727,0.00165
648,1.65e-07,648,1.51e-07,728,0.00173
649,1.46e-07,649,7.15e-08,729,0.00187
650,1.24e-07,650,9.93e-08,730,0.00195
651,2.01e-07,651,9.07e-08,731,0.00222
652,1.39e-07,652,6.28e-08,732,0.00243
653,1.17e-07,653,9.98e-08,733,0.00272
654,1.46e-07,654,1.24e-07,734,0.00314
655,1.48e-07,655,1.04e-07,735,0.00372
656,1.05e-07,656,1.04e-07,736,0.00435
657,1.48e-07,657,1.03e-07,737,0.00525
658,1.75e-07,658,1.32e-07,738,0.00634
659,1.36e-07,659,8.57e-08,739,0.00752
660,1.28e-07,660,1.12e-07,740,0.00906
661,1.45e-07,661,8.02e-08,741,0.0108
662,1.46e-07,662,9.94e-08,742,0.0126
663,1.52e-07,663,1.1e-07,743,0.0145
664,1.22e-07,664,1.65e-07,744,0.0163
665,1.49e-07,665,1.2e-07,745,0.018
666,1.98e-07,666,1.09e-07,746,0.0195
667,1.68e-07,667,1.53e-07,747,0.0207
668,1.4e-07,668,9.36e-08,748,0.0219
669,1.08e-07,669,1.18e-07,749,0.023
670,1.71e-07,670,1.03e-07,750,0.0242
671,1.05e-07,671,1.48e-07,751,0.0257
672,1.49e-07,672,2.01e-07,752,0.0274
673,5.07e-08,673,1.21e-07,753,0.0299
674,1.1e-07,674,1.66e-07,754,0.0327
