Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
748,9.5e-07,524.5,1.42e-06,748,0.954
749,9.5e-07,525,1.17e-06,749,0.957
750,1.47e-06,525.5,1.03e-06,750,0.96
751,2.78e-06,526,8.7e-07,751,0.963
752,1.97e-06,526.5,8.44e-07,752,0.967
753,1.19e-06,527,9.28e-07,753,0.968
754,9.5e-07,527.5,1.13e-06,754,0.97
755,9.5e-07,528,1.48e-06,755,0.972
756,9.5e-07,528.5,1.97e-06,756,0.974
757,9.5e-07,529,2.69e-06,757,0.976
758,9.5e-07,529.5,3.11e-06,758,0.976
759,9.5e-07,530,2.68e-06,759,0.977
760,9.5e-07,530.5,1.93e-06,760,0.977
761,9.5e-07,531,1.26e-06,761,0.976
762,9.5e-07,531.5,8.65e-07,762,0.973
763,9.5e-07,532,5.33e-07,763,0.973
764,9.5e-07,532.5,4.63e-07,764,0.972
765,9.5e-07,533,4e-07,765,0.97
766,9.5e-07,533.5,4.1e-07,766,0.967
767,1e-06,534,4.32e-07,767,0.964
768,9.5e-07,534.5,3.39e-07,768,0.963
769,1.13e-06,535,4e-07,769,0.959
770,1.92e-06,535.5,4.42e-07,770,0.956
771,1.56e-06,536,3.91e-07,771,0.952
772,1.57e-06,536.5,4.94e-07,772,0.95
773,1.01e-06,537,6.07e-07,773,0.947
774,9.5e-07,537.5,8.77e-07,774,0.942
775,9.5e-07,538,1.04e-06,775,0.939
776,9.5e-07,538.5,1.44e-06,776,0.936
777,9.5e-07,539,1.84e-06,777,0.933
778,9.5e-07,539.5,2.32e-06,778,0.93
779,9.5e-07,540,3e-06,779,0.928
780,9.5e-07,540.5,2.8e-06,780,0.925
781,9.5e-07,541,2.18e-06,781,0.922
782,9.5e-07,541.5,1.33e-06,782,0.921
783,9.5e-07,542,7.41e-07,783,0.919
784,9.5e-07,542.5,6.17e-07,784,0.918
785,9.5e-07,543,4.65e-07,785,0.918
786,9.5e-07,543.5,3.24e-07,786,0.916
787,1.03e-06,544,2.79e-07,787,0.917
788,9.5e-07,544.5,2.36e-07,788,0.917
789,9.5e-07,545,1.67e-07,789,0.917
790,9.5e-07,545.5,2.77e-07,790,0.918
791,9.5e-07,546,2.09e-07,791,0.918
792,9.5e-07,546.5,2.6e-07,792,0.92
793,9.5e-07,547,2.51e-07,793,0.922
794,9.5e-07,547.5,2.28e-07,794,0.924
795,9.5e-07,548,2.56e-07,795,0.926
796,9.5e-07,548.5,3.24e-07,796,0.928
797,9.5e-07,549,5.41e-07,797,0.931
798,9.5e-07,549.5,5.18e-07,798,0.935
799,9.5e-07,550,5.73e-07,799,0.937
800,9.5e-07,550.5,4.23e-07,800,0.937
801,9.5e-07,551,2.04e-07,801,0.93786
802,9.5e-07,551.5,3.04e-07,802,0.93848
803,9.5e-07,552,2.48e-07,803,0.94301
804,9.5e-07,552.5,1.56e-07,804,0.94378
805,9.5e-07,553,1.87e-07,805,0.94489
806,9.5e-07,553.5,1.68e-07,806,0.94776
807,9.5e-07,554,2.4e-07,807,0.94918
808,9.5e-07,554.5,2.26e-07,808,0.94889
809,9.5e-07,555,1.77e-07,809,0.9505
810,9.5e-07,555.5,3.24e-07,810,0.95299
811,1.22e-06,556,4.38e-07,811,0.95171
812,9.5e-07,556.5,4.9e-07,812,0.95235
813,9.5e-07,557,5.58e-07,813,0.95119
814,1e-06,557.5,7.59e-07,814,0.94965
815,9.5e-07,558,6.95e-07,815,0.94821
816,9.5e-07,558.5,8.1e-07,816,0.9483
817,9.5e-07,559,7.76e-07,817,0.9497
818,9.5e-07,559.5,5.8e-07,818,0.94746
819,9.5e-07,560,4.1e-07,819,0.94578
820,9.5e-07,560.5,2.95e-07,820,0.94465
821,9.5e-07,561,1.8e-07,821,0.94321
822,9.5e-07,561.5,2.45e-07,822,0.94215
823,9.5e-07,562,2.21e-07,823,0.94101
824,9.5e-07,562.5,2.5e-07,824,0.93806
825,1.04e-06,563,1.98e-07,825,0.93726
826,9.5e-07,563.5,1.61e-07,826,0.93506
827,9.5e-07,564,1.41e-07,827,0.93362
828,9.5e-07,564.5,1.37e-07,828,0.93188
829,9.5e-07,565,3.25e-07,829,0.93094
830,9.5e-07,565.5,1.4e-07,830,0.9294
831,9.5e-07,566,2.03e-07,831,0.92842
832,9.5e-07,566.5,1.45e-07,832,0.92493
833,9.5e-07,567,1.83e-07,833,0.92306
834,9.5e-07,567.5,4.03e-08,834,0.92079
835,9.5e-07,568,8.61e-08,835,0.92025
836,9.5e-07,568.5,9.09e-08,836,0.92077
837,9.5e-07,569,1.74e-07,837,0.91975
838,9.5e-07,569.5,1.52e-07,838,0.91871
839,9.5e-07,570,1.04e-07,839,0.91881
840,2.07e-06,570.5,6.17e-08,840,0.91862
841,1.52e-06,571,1.72e-07,841,0.91802
842,9.5e-07,571.5,1.61e-07,842,0.91831
843,9.5e-07,572,1.21e-07,843,0.91797
844,9.5e-07,572.5,1.17e-07,844,0.91836
845,9.5e-07,573,1.2e-07,845,0.9194
846,1.79e-06,573.5,1.24e-07,846,0.92195
847,9.5e-07,574,1.56e-07,847,0.92222
848,1.85e-06,574.5,1.85e-07,848,0.92275
849,9.5e-07,575,1.46e-07,849,0.92445
850,9.5e-07,575.5,1.26e-07,850,0.9244
851,9.5e-07,576,8.93e-08,851,0.92592
852,9.5e-07,576.5,1.37e-07,852,0.92601
853,9.5e-07,577,1.06e-07,853,0.92742
854,9.5e-07,577.5,1e-07,854,0.92847
855,9.5e-07,578,6.27e-09,855,0.92972
856,9.5e-07,578.5,1.91e-08,856,0.93085
857,9.5e-07,579,1.18e-07,857,0.93101
858,9.5e-07,579.5,1.11e-07,858,0.93171
859,9.5e-07,580,1.21e-07,859,0.93173
860,9.5e-07,580.5,6.61e-08,860,0.93222
861,9.5e-07,581,1.71e-07,861,0.93349
