Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
606,9.5e-07,606,0.955,656,0.94
607,9.5e-07,607,0.957,657,0.942
608,9.5e-07,608,0.957,658,0.944
609,9.5e-07,609,0.957,659,0.946
610,9.5e-07,610,0.957,660,0.947
611,9.5e-07,611,0.956,661,0.949
612,9.5e-07,612,0.957,662,0.95
613,9.5e-07,613,0.957,663,0.95
614,9.5e-07,614,0.957,664,0.95
615,9.5e-07,615,0.958,665,0.949
616,9.5e-07,616,0.955,666,0.947
617,9.5e-07,617,0.955,667,0.945
618,9.5e-07,618,0.956,668,0.944
619,9.5e-07,619,0.953,669,0.942
620,9.5e-07,620,0.955,670,0.94
621,9.5e-07,621,0.957,671,0.939
622,9.5e-07,622,0.959,672,0.937
623,1.29e-06,623,0.958,673,0.936
624,9.5e-07,624,0.958,674,0.936
625,9.5e-07,625,0.958,675,0.937
626,9.5e-07,626,0.955,676,0.937
627,9.5e-07,627,0.955,677,0.938
628,9.5e-07,628,0.956,678,0.939
629,9.5e-07,629,0.957,679,0.941
630,9.5e-07,630,0.925,680,0.943
631,9.5e-07,631,0.803,681,0.944
632,9.5e-07,632,0.565,682,0.945
633,9.5e-07,633,0.323,683,0.945
634,9.5e-07,634,0.163,684,0.946
635,9.5e-07,635,0.082,685,0.947
636,9.5e-07,636,0.0428,686,0.948
637,9.5e-07,637,0.0233,687,0.947
638,9.5e-07,638,0.0133,688,0.947
639,9.5e-07,639,0.00776,689,0.946
640,9.5e-07,640,0.00467,690,0.945
641,9.5e-07,641,0.00287,691,0.944
642,9.5e-07,642,0.00179,692,0.943
643,9.5e-07,643,0.00115,693,0.943
644,9.5e-07,644,0.000756,694,0.944
645,9.5e-07,645,0.000508,695,0.941
646,9.5e-07,646,0.000357,696,0.941
647,9.5e-07,647,0.00026,697,0.94
648,9.5e-07,648,0.000195,698,0.94
649,9.5e-07,649,0.000151,699,0.941
650,9.5e-07,650,0.000118,700,0.941
651,9.5e-07,651,9.84e-05,701,0.943
652,9.5e-07,652,8.19e-05,702,0.945
653,9.5e-07,653,6.94e-05,703,0.946
654,9.5e-07,654,5.99e-05,704,0.946
655,2.71e-06,655,5.2e-05,705,0.946
656,2.99e-06,656,4.46e-05,706,0.947
657,2.94e-06,657,3.94e-05,707,0.948
658,2.24e-06,658,3.39e-05,708,0.948
659,2.7e-06,659,2.91e-05,709,0.949
660,2.16e-06,660,2.57e-05,710,0.947
661,1.67e-06,661,2.34e-05,711,0.946
662,2.42e-06,662,2.05e-05,712,0.945
663,1.98e-06,663,1.85e-05,713,0.944
664,2.23e-06,664,1.7e-05,714,0.943
665,1.72e-06,665,1.54e-05,715,0.943
666,1.72e-06,666,1.44e-05,716,0.942
667,2.4e-06,667,1.3e-05,717,0.942
668,2.03e-06,668,1.15e-05,718,0.941
669,2.12e-06,669,1.02e-05,719,0.94
670,2.02e-06,670,9.05e-06,720,0.939
671,1.43e-06,671,7.7e-06,721,0.938
672,1.05e-06,672,6.8e-06,722,0.938
673,1.51e-06,673,5.8e-06,723,0.938
674,1.44e-06,674,4.88e-06,724,0.938
675,1.79e-06,675,3.93e-06,725,0.938
676,1.09e-06,676,3.32e-06,726,0.939
677,1.15e-06,677,2.77e-06,727,0.941
678,1.16e-06,678,2.2e-06,728,0.942
679,9.5e-07,679,2.01e-06,729,0.942
680,9.5e-07,680,1.57e-06,730,0.942
681,9.5e-07,681,1.41e-06,731,0.943
682,1.06e-06,682,1.14e-06,732,0.944
683,1.13e-06,683,9.81e-07,733,0.944
684,9.5e-07,684,9.5e-07,734,0.945
685,1.8e-06,685,9.5e-07,735,0.946
686,9.5e-07,686,9.5e-07,736,0.947
687,9.5e-07,687,9.5e-07,737,0.948
688,1.46e-06,688,9.5e-07,738,0.948
689,1.19e-06,689,9.5e-07,739,0.948
690,9.5e-07,690,9.5e-07,740,0.948
691,1.43e-06,691,9.5e-07,741,0.947
692,9.5e-07,692,9.5e-07,742,0.946
693,1.73e-06,693,9.5e-07,743,0.945
694,9.5e-07,694,9.5e-07,744,0.943
695,9.5e-07,695,9.5e-07,745,0.942
696,9.5e-07,696,9.5e-07,746,0.94
697,9.5e-07,697,9.5e-07,747,0.939
698,9.5e-07,698,9.5e-07,748,0.939
699,1.04e-06,699,9.5e-07,749,0.938
700,9.5e-07,700,9.5e-07,750,0.936
701,9.5e-07,701,9.5e-07,751,0.935
702,9.5e-07,702,9.5e-07,752,0.935
703,9.5e-07,703,9.5e-07,753,0.935
704,9.5e-07,704,9.5e-07,754,0.934
705,9.5e-07,705,9.5e-07,755,0.934
706,1.01e-06,706,9.5e-07,756,0.935
707,9.5e-07,707,9.5e-07,757,0.935
708,9.5e-07,708,9.5e-07,758,0.936
709,9.5e-07,709,9.5e-07,759,0.936
710,9.5e-07,710,9.5e-07,760,0.937
711,9.5e-07,711,9.5e-07,761,0.938
712,1.52e-06,712,9.5e-07,762,0.94
713,9.5e-07,713,9.5e-07,763,0.94
714,9.5e-07,714,9.5e-07,764,0.941
715,9.5e-07,715,9.5e-07,765,0.941
716,9.5e-07,716,9.5e-07,766,0.943
717,1.9e-06,717,9.5e-07,767,0.944
718,1.19e-06,718,9.5e-07,768,0.945
719,9.5e-07,719,9.5e-07,769,0.945
720,9.5e-07,720,9.5e-07,770,0.945
721,9.5e-07,721,9.5e-07,771,0.945
722,9.5e-07,722,9.5e-07,772,0.943
723,9.5e-07,723,9.5e-07,773,0.942
724,9.5e-07,724,9.5e-07,774,0.942
725,1.64e-06,725,9.5e-07,775,0.942
726,1.5e-06,726,9.5e-07,776,0.942
727,9.5e-07,727,9.5e-07,777,0.941
728,1.84e-06,728,9.5e-07,778,0.941
729,1.11e-06,729,9.5e-07,779,0.939
730,1.41e-06,730,9.5e-07,780,0.938
731,1.95e-06,731,9.5e-07,781,0.938
732,9.5e-07,732,9.5e-07,782,0.937
733,1.04e-06,733,9.5e-07,783,0.937
734,9.5e-07,734,9.5e-07,784,0.936
735,1.26e-06,735,9.5e-07,785,0.936
736,1.38e-06,736,9.5e-07,786,0.937
737,2.02e-06,737,9.5e-07,787,0.938
738,1.63e-06,738,9.5e-07,788,0.938
739,1.68e-06,739,9.5e-07,789,0.938
740,1.59e-06,740,9.5e-07,790,0.937
741,9.5e-07,741,9.5e-07,791,0.937
742,9.5e-07,742,9.5e-07,792,0.938
743,9.5e-07,743,9.5e-07,793,0.938
744,9.5e-07,744,9.5e-07,794,0.939
745,9.5e-07,745,9.5e-07,795,0.94
746,1.79e-06,746,9.5e-07,796,0.941
747,9.5e-07,747,9.5e-07,797,0.943
748,1.55e-06,748,9.5e-07,798,0.941
